Date,adj_close
2001-08-27,21.856172561645508
2001-08-28,21.60614776611328
2001-08-29,21.507495880126953
2001-08-30,21.20134735107422
2001-08-31,21.252365112304688
2001-09-04,20.767614364624023
2001-09-05,20.640056610107422
2001-09-06,20.17230987548828
2001-09-07,20.053260803222656
2001-09-10,19.823638916015625
2001-09-17,18.956193923950195
2001-09-18,18.803110122680664
2001-09-19,18.752086639404297
2001-09-20,17.9356746673584
2001-09-21,17.43391990661621
2001-09-24,18.2418270111084
2001-09-25,18.454437255859375
2001-09-26,18.54798698425293
2001-09-27,18.840534210205078
2001-09-28,19.20792579650879
2001-10-01,19.104169845581055
2001-10-02,19.171621322631836
2001-10-03,19.367511749267578
2001-10-04,19.57362174987793
2001-10-05,19.604286193847656
2001-10-08,19.486753463745117
2001-10-09,19.435649871826172
2001-10-10,19.827430725097656
2001-10-11,19.963699340820312
2001-10-12,19.93814468383789
2001-10-15,19.623018264770508
2001-10-16,19.895566940307617
2001-10-17,19.912595748901367
2001-10-18,19.750778198242188
2001-10-19,19.554885864257812
2001-10-22,19.69114875793457
2001-10-23,19.847867965698242
2001-10-24,20.047161102294922
2001-10-25,20.018203735351562
2001-10-26,20.147659301757812
2001-10-29,19.7269287109375
2001-10-30,19.503782272338867
2001-10-31,19.558298110961914
2001-11-01,19.97051239013672
2001-11-02,19.968807220458984
2001-11-05,20.16810417175293
2001-11-06,20.377622604370117
2001-11-07,20.19365882873535
2001-11-08,20.33844566345215
2001-11-09,20.30437660217285
2001-11-12,20.031835556030273
2001-11-13,20.21579360961914
2001-11-14,20.236236572265625
2001-11-15,20.323110580444336
2001-11-16,20.43724250793457
2001-11-19,20.53944206237793
2001-11-20,20.39806365966797
2001-11-21,20.345260620117188
2001-11-23,20.40997886657715
2001-11-26,20.607582092285156
2001-11-27,20.447460174560547
2001-11-28,20.091449737548828
2001-11-29,20.135738372802734
2001-11-30,20.2123966217041
2001-12-03,20.040348052978516
2001-12-04,20.324817657470703
2001-12-05,20.813688278198242
2001-12-06,20.87841033935547
2001-12-07,20.563289642333984
2001-12-10,20.16810417175293
2001-12-11,20.208980560302734
2001-12-12,20.292449951171875
2001-12-13,19.812097549438477
2001-12-14,19.92622184753418
2001-12-17,20.16299819946289
2001-12-18,20.217500686645508
2001-12-19,20.006284713745117
2001-12-20,19.9091854095459
2001-12-21,20.009693145751953
2001-12-24,19.935033798217773
2001-12-26,19.91798210144043
2001-12-27,20.18218994140625
2001-12-28,20.34242820739746
2001-12-31,20.335607528686523
2002-01-02,20.44811248779297
2002-01-03,20.632200241088867
2002-01-04,20.768564224243164
2002-01-07,20.492420196533203
2002-01-08,20.258895874023438
2002-01-09,20.04582977294922
2002-01-10,20.093555450439453
2002-01-11,19.979341506958008
2002-01-14,19.77991485595703
2002-01-15,19.764572143554688
2002-01-16,19.416831970214844
2002-01-17,19.69639015197754
2002-01-18,19.6878662109375
2002-01-22,19.45775032043457
2002-01-23,19.508886337280273
2002-01-24,19.61456871032715
2002-01-25,19.33501625061035
2002-01-28,19.51570701599121
2002-01-29,18.97365379333496
2002-01-30,19.18330955505371
2002-01-31,19.159448623657227
2002-02-01,19.11683464050293
2002-02-04,18.960010528564453
2002-02-05,18.58159828186035
2002-02-06,18.554319381713867
2002-02-07,18.760576248168945
2002-02-08,19.01285743713379
2002-02-11,19.244670867919922
2002-02-12,19.236156463623047
2002-02-13,19.261720657348633
2002-02-14,19.415130615234375
2002-02-15,19.29581069946289
2002-02-19,18.886709213256836
2002-02-20,18.971946716308594
2002-02-21,18.84239387512207
2002-02-22,18.978755950927734
2002-02-25,19.21739959716797
2002-02-26,19.108308792114258
2002-02-27,19.321378707885742
2002-02-28,19.38956642150879
2002-03-01,19.75604248046875
2002-03-04,20.431062698364258
2002-03-05,20.2060546875
2002-03-06,20.415721893310547
2002-03-07,20.732772827148438
2002-03-08,20.76344871520996
2002-03-11,20.795835494995117
2002-03-12,20.557199478149414
2002-03-13,20.335607528686523
2002-03-14,20.5367431640625
2002-03-15,20.76515007019043
2002-03-18,20.74129867553711
2002-03-19,20.84527587890625
2002-03-20,20.57765769958496
2002-03-21,20.6304874420166
2002-03-22,20.44811248779297
2002-03-25,20.195829391479492
2002-03-26,20.323673248291016
2002-03-27,20.354354858398438
2002-03-28,20.471967697143555
2002-04-01,20.586177825927734
2002-04-02,20.506059646606445
2002-04-03,20.509469985961914
2002-04-04,20.48048973083496
2002-04-05,20.48048973083496
2002-04-08,20.24355125427246
2002-04-09,20.212875366210938
2002-04-10,20.47708511352539
2002-04-11,20.0219669342041
2002-04-12,20.22651481628418
2002-04-15,20.36969566345215
2002-04-16,20.75152015686035
2002-04-17,20.778791427612305
2002-04-18,20.84527587890625
2002-04-19,20.928794860839844
2002-04-22,20.78220558166504
2002-04-23,20.727651596069336
2002-04-24,20.625381469726562
2002-04-25,20.81288719177246
2002-04-26,20.628786087036133
2002-04-29,20.574249267578125
2002-04-30,20.783906936645508
2002-05-01,20.892995834350586
2002-05-02,20.836740493774414
2002-05-03,20.978225708007812
2002-05-06,20.761749267578125
2002-05-07,20.48902130126953
2002-05-08,20.94072914123535
2002-05-09,20.838451385498047
2002-05-10,20.666297912597656
2002-05-13,20.97311019897461
2002-05-14,20.996984481811523
2002-05-15,21.085617065429688
2002-05-16,21.19300079345703
2002-05-17,21.38221549987793
2002-05-20,21.27311897277832
2002-05-21,21.240734100341797
2002-05-22,21.28165054321289
2002-05-23,21.302099227905273
2002-05-24,21.162324905395508
2002-05-28,21.119707107543945
2002-05-29,21.099252700805664
2002-05-30,21.00550651550293
2002-05-31,20.89470672607422
2002-06-03,20.855497360229492
2002-06-04,20.736181259155273
2002-06-05,20.69356918334961
2002-06-06,20.48902130126953
2002-06-07,20.327077865600586
2002-06-10,20.39356231689453
2002-06-11,20.29298973083496
2002-06-12,20.180482864379883
2002-06-13,19.841278076171875
2002-06-14,19.612863540649414
2002-06-17,19.92310333251953
2002-06-18,19.9708194732666
2002-06-19,19.432180404663086
2002-06-20,19.341835021972656
2002-06-21,19.363996505737305
2002-06-24,19.365699768066406
2002-06-25,19.38104248046875
2002-06-26,19.384449005126953
2002-06-27,19.863435745239258
2002-06-28,20.20775604248047
2002-07-01,20.04582977294922
2002-07-02,19.679340362548828
