n_trials,n_obs,n_sims,max_sharpe_simulated,max_sharpe_simulated_se,max_sharpe_theory,false_positive_psr,false_positive_dsr
2,500,300,0.026962574018003338,0.002110848689993946,0.019561586393280372,0.11,0.023333333333333334
5,500,300,0.05216455325913591,0.0016829680678809057,0.04883266119120506,0.2,0.0
10,500,300,0.06822968532758242,0.001614573700024011,0.06698681028054984,0.3933333333333333,0.0
20,500,300,0.08241857333894693,0.0013555670526754855,0.08311237717354784,0.6133333333333333,0.0
50,500,300,0.10044476385174338,0.0011785521697186472,0.10069756853833906,0.9133333333333333,0.0
100,500,300,0.11205496857561383,0.0010636988318018779,0.113083611130964,0.9933333333333333,0.0
200,500,300,0.12434782869471041,0.0010385549534272127,0.12338713094353458,1.0,0.0
500,500,300,0.13675346961500975,0.0009800601754841967,0.13683811441890925,1.0,0.0
